,Country,Region,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
106,Iraq,Middle East and Northern Africa,4.43720006942749,4.6103692054748535,4.264030933380127,1.3621859550476074,1.0431352853775024,0.979813814163208,0.5744558572769165,0.24063681066036224,0.14808274805545807,0.08888710290193558
107,South Africa,Sub-Saharan Africa,4.7221999168396,4.837568759918213,4.606831073760986,1.368621826171875,0.9596804976463318,1.35067617893219,0.4691675901412964,0.3893668055534363,0.12998898327350616,0.054727621376514435
108,Ghana,Sub-Saharan Africa,4.996300220489502,5.136762619018555,4.855837821960449,2.366683006286621,0.6113277673721313,0.8679792284965515,0.48564037680625916,0.38050034642219543,0.24458979070186615,0.039540015161037445
109,Zimbabwe,Sub-Saharan Africa,3.6631999015808105,3.780338764190674,3.5460610389709473,1.1491093635559082,0.3657847046852112,1.1139962673187256,0.43306922912597656,0.3608396351337433,0.15106090903282166,0.08929124474525452
110,Liberia,Sub-Saharan Africa,3.9753000736236572,4.114850997924805,3.8357491493225098,1.9016623497009277,0.07292234897613525,0.921916663646698,0.44301465153694153,0.3697025179862976,0.23317834734916687,0.032873477786779404
111,India,Southern Asia,4.015200138092041,4.0622429847717285,3.9681572914123535,1.1257917881011963,0.7549120187759399,0.7649267911911011,0.5876707434654236,0.4976606070995331,0.1995028704404831,0.08471522480249405
112,Haiti,Latin America and Caribbean,3.59689998626709,3.7505359649658203,3.4432640075683594,1.5806465148925781,0.32293105125427246,0.688321053981781,0.44938337802886963,0.02585442364215851,0.41949784755706787,0.11023885756731033
113,Congo (Kinshasa),Sub-Saharan Africa,4.418099880218506,4.543480396270752,4.29271936416626,2.3078761100769043,0.0940791442990303,1.1248258352279663,0.3571464419364929,0.26852336525917053,0.21244412660598755,0.05324497073888779
114,Nepal,Southern Asia,4.912700176239014,5.031082630157471,4.794317722320557,1.7511122226715088,0.4456043243408203,1.2255668640136719,0.6773421764373779,0.43929457664489746,0.2846951484680176,0.08912819623947144
115,Ethiopia,Sub-Saharan Africa,4.285799980163574,4.365377426147461,4.2062225341796875,1.7314181327819824,0.3364157974720001,1.0330665111541748,0.5318699479103088,0.34412917494773865,0.20864854753017426,0.10024529695510864
116,Sierra Leone,Sub-Saharan Africa,4.374199867248535,4.510166168212891,4.23823356628418,2.416184425354004,0.26826202869415283,0.8411687016487122,0.24218608438968658,0.30913156270980835,0.2522435486316681,0.04501882568001747
117,Mauritania,Sub-Saharan Africa,4.490300178527832,4.591343402862549,4.389256954193115,2.0051753520965576,0.5696346163749695,1.1672216653823853,0.48874542117118835,0.06577526777982712,0.10558415204286575,0.08815564960241318
118,Kenya,Sub-Saharan Africa,4.508600234985352,4.626385688781738,4.390814781188965,1.5763156414031982,0.5116509199142456,0.9830563068389893,0.5810726284980774,0.4306410253047943,0.37239187955856323,0.053494811058044434
119,Armenia,Central and Eastern Europe,4.5594000816345215,4.651613235473633,4.46718692779541,1.3979957103729248,0.8501089811325073,1.054939866065979,0.8149282932281494,0.28262510895729065,0.09503298997879028,0.06379532814025879
120,Botswana,Sub-Saharan Africa,3.4883999824523926,3.611435651779175,3.3653643131256104,0.18326735496520996,1.0409445762634277,1.1453176736831665,0.5384024381637573,0.4554431736469269,0.024992935359477997,0.10003755241632462
121,Myanmar,Southeastern Asia,4.360400199890137,4.442070007324219,4.278730392456055,0.6519043445587158,0.7098601460456848,1.1805499792099,0.5546796917915344,0.5254129767417908,0.5658249855041504,0.17220009863376617
